30 435
1 2 1
1 3 2
1 4 3
1 5 4
1 6 5
1 7 6
1 8 7
1 9 8
1 10 9
1 11 10
1 12 11
1 13 12
1 14 13
1 15 14
1 16 15
1 17 16
1 18 17
1 19 18
1 20 19
1 21 20
1 22 21
1 23 22
1 24 23
1 25 24
1 26 25
1 27 26
1 28 27
1 29 28
1 30 29
2 3 1
2 4 2
2 5 3
2 6 4
2 7 5
2 8 6
2 9 7
2 10 8
2 11 9
2 12 10
2 13 11
2 14 12
2 15 13
2 16 14
2 17 15
2 18 16
2 19 17
2 20 18
2 21 19
2 22 20
2 23 21
2 24 22
2 25 23
2 26 24
2 27 25
2 28 26
2 29 27
2 30 28
3 4 1
3 5 2
3 6 3
3 7 4
3 8 5
3 9 6
3 10 7
3 11 8
3 12 9
3 13 10
3 14 11
3 15 12
3 16 13
3 17 14
3 18 15
3 19 16
3 20 17
3 21 18
3 22 19
3 23 20
3 24 21
3 25 22
3 26 23
3 27 24
3 28 25
3 29 26
3 30 27
4 5 1
4 6 2
4 7 3
4 8 4
4 9 5
4 10 6
4 11 7
4 12 8
4 13 9
4 14 10
4 15 11
4 16 12
4 17 13
4 18 14
4 19 15
4 20 16
4 21 17
4 22 18
4 23 19
4 24 20
4 25 21
4 26 22
4 27 23
4 28 24
4 29 25
4 30 26
5 6 1
5 7 2
5 8 3
5 9 4
5 10 5
5 11 6
5 12 7
5 13 8
5 14 9
5 15 10
5 16 11
5 17 12
5 18 13
5 19 14
5 20 15
5 21 16
5 22 17
5 23 18
5 24 19
5 25 20
5 26 21
5 27 22
5 28 23
5 29 24
5 30 25
6 7 1
6 8 2
6 9 3
6 10 4
6 11 5
6 12 6
6 13 7
6 14 8
6 15 9
6 16 10
6 17 11
6 18 12
6 19 13
6 20 14
6 21 15
6 22 16
6 23 17
6 24 18
6 25 19
6 26 20
6 27 21
6 28 22
6 29 23
6 30 24
7 8 1
7 9 2
7 10 3
7 11 4
7 12 5
7 13 6
7 14 7
7 15 8
7 16 9
7 17 10
7 18 11
7 19 12
7 20 13
7 21 14
7 22 15
7 23 16
7 24 17
7 25 18
7 26 19
7 27 20
7 28 21
7 29 22
7 30 23
8 9 1
8 10 2
8 11 3
8 12 4
8 13 5
8 14 6
8 15 7
8 16 8
8 17 9
8 18 10
8 19 11
8 20 12
8 21 13
8 22 14
8 23 15
8 24 16
8 25 17
8 26 18
8 27 19
8 28 20
8 29 21
8 30 22
9 10 1
9 11 2
9 12 3
9 13 4
9 14 5
9 15 6
9 16 7
9 17 8
9 18 9
9 19 10
9 20 11
9 21 12
9 22 13
9 23 14
9 24 15
9 25 16
9 26 17
9 27 18
9 28 19
9 29 20
9 30 21
10 11 1
10 12 2
10 13 3
10 14 4
10 15 5
10 16 6
10 17 7
10 18 8
10 19 9
10 20 10
10 21 11
10 22 12
10 23 13
10 24 14
10 25 15
10 26 16
10 27 17
10 28 18
10 29 19
10 30 20
11 12 1
11 13 2
11 14 3
11 15 4
11 16 5
11 17 6
11 18 7
11 19 8
11 20 9
11 21 10
11 22 11
11 23 12
11 24 13
11 25 14
11 26 15
11 27 16
11 28 17
11 29 18
11 30 19
12 13 1
12 14 2
12 15 3
12 16 4
12 17 5
12 18 6
12 19 7
12 20 8
12 21 9
12 22 10
12 23 11
12 24 12
12 25 13
12 26 14
12 27 15
12 28 16
12 29 17
12 30 18
13 14 1
13 15 2
13 16 3
13 17 4
13 18 5
13 19 6
13 20 7
13 21 8
13 22 9
13 23 10
13 24 11
13 25 12
13 26 13
13 27 14
13 28 15
13 29 16
13 30 17
14 15 1
14 16 2
14 17 3
14 18 4
14 19 5
14 20 6
14 21 7
14 22 8
14 23 9
14 24 10
14 25 11
14 26 12
14 27 13
14 28 14
14 29 15
14 30 16
15 16 1
15 17 2
15 18 3
15 19 4
15 20 5
15 21 6
15 22 7
15 23 8
15 24 9
15 25 10
15 26 11
15 27 12
15 28 13
15 29 14
15 30 15
16 17 1
16 18 2
16 19 3
16 20 4
16 21 5
16 22 6
16 23 7
16 24 8
16 25 9
16 26 10
16 27 11
16 28 12
16 29 13
16 30 14
17 18 1
17 19 2
17 20 3
17 21 4
17 22 5
17 23 6
17 24 7
17 25 8
17 26 9
17 27 10
17 28 11
17 29 12
17 30 13
18 19 1
18 20 2
18 21 3
18 22 4
18 23 5
18 24 6
18 25 7
18 26 8
18 27 9
18 28 10
18 29 11
18 30 12
19 20 1
19 21 2
19 22 3
19 23 4
19 24 5
19 25 6
19 26 7
19 27 8
19 28 9
19 29 10
19 30 11
20 21 1
20 22 2
20 23 3
20 24 4
20 25 5
20 26 6
20 27 7
20 28 8
20 29 9
20 30 10
21 22 1
21 23 2
21 24 3
21 25 4
21 26 5
21 27 6
21 28 7
21 29 8
21 30 9
22 23 1
22 24 2
22 25 3
22 26 4
22 27 5
22 28 6
22 29 7
22 30 8
23 24 1
23 25 2
23 26 3
23 27 4
23 28 5
23 29 6
23 30 7
24 25 1
24 26 2
24 27 3
24 28 4
24 29 5
24 30 6
25 26 1
25 27 2
25 28 3
25 29 4
25 30 5
26 27 1
26 28 2
26 29 3
26 30 4
27 28 1
27 29 2
27 30 3
28 29 1
28 30 2
29 30 1
